acreage,seed_cost,fertilizer_cost,budget,soil_type,target_crop,historical_yield_tons
18,820,700,4200,Loamy,Corn,29.4
24,980,760,5400,Silt,Wheat,31.8
32,1320,1040,6800,Black,Rice,47.9
16,760,680,3900,Sandy,Soybean,21.6
28,1150,980,6100,Clay,Cotton,34.7
40,1480,1160,8200,Loamy,Corn,61.8
22,910,820,4700,Black,Wheat,29.1
35,1380,1210,7600,Silt,Rice,55.6
14,690,540,3200,Sandy,Soybean,19.8
30,1240,1000,7000,Clay,Cotton,38.9
26,1100,920,5900,Loamy,Corn,43.2
19,840,760,4300,Black,Wheat,27.4
42,1540,1290,8800,Silt,Rice,65.9
17,740,650,3600,Sandy,Soybean,20.7
31,1290,1030,6900,Clay,Cotton,39.8
36,1450,1180,7900,Loamy,Corn,58.6
20,860,770,4500,Silt,Wheat,28.5
27,1120,950,6200,Black,Rice,43.8
15,700,560,3400,Sandy,Soybean,18.9
29,1210,990,6500,Clay,Cotton,36.1